player_id,player_name,team_name,team_short,position,jersey_number,is_starter,vmax_kmh,threshold_kmh,low_confidence,games_appeared,total_runs,runs_per_game,total_hsr_distance_m,hsr_distance_per_game_m,mean_duration_sec,mean_pct_of_vmax_pct,tournament_peak_speed_kmh,mean_peak_speed_kmh
4674,Axel Witsel,Belgium,BEL,CM,6,true,17.76,14.21,false,3,122,40.67,990.3,330.1,1.8,95.4,26.27,16.94
1381,Marcos Llorente,Spain,ESP,CM,6,false,20.97,16.78,false,1,33,33.0,382.4,382.4,2.09,103.4,45.0,21.69
3387,Orbelín Pineda,Mexico,MEX,CM,17,false,19.17,15.34,false,1,33,33.0,289.4,289.4,1.85,92.7,21.99,17.78
12561,Sergej Milinković-Savić,Serbia,SRB,LW,20,true,18.56,14.85,false,3,94,31.33,870.2,290.1,1.97,96.9,32.69,17.98
13956,Assim Madibo,Qatar,QAT,CDM,23,false,17.07,13.66,false,2,61,30.5,476.0,238.0,1.74,98.4,33.7,16.8
2134,Moises Caicedo,Ecuador,ECU,CM,23,true,18.07,14.46,false,3,89,29.67,749.7,249.9,1.82,95.1,41.74,17.19
1683,Casemiro,Brazil,BRA,CM,5,true,18.31,14.65,false,4,116,29.0,975.1,243.8,1.76,100.3,45.0,18.36
265,Declan Rice,England,ENG,CM,4,true,18.53,14.83,false,5,142,28.4,1276.2,255.2,1.89,96.5,41.84,17.89
4677,Jude Bellingham,England,ENG,CM,22,true,19.31,15.45,false,5,139,27.8,1232.6,246.5,1.78,96.7,30.33,18.67
8062,Aaron Ramsey,Wales,WAL,CM,10,true,19.52,15.62,false,3,82,27.33,864.4,288.1,2.07,98.5,38.14,19.23
8578,Simon Kjaer,Denmark,DEN,UNK,4,true,18.69,14.95,false,1,27,27.0,219.4,219.4,1.69,98.1,23.4,18.33
8045,Matthijs De Ligt,Netherlands,NED,RCB,3,true,19.0,15.2,false,1,27,27.0,231.6,231.6,1.73,99.6,33.4,18.93
13976,Sadegh Moharrami,Iran,IRN,RWB,2,true,20.65,16.52,false,1,27,27.0,305.0,305.0,2.1,100.4,36.13,20.73
22,Kevin De Bruyne,Belgium,BEL,RW,7,true,20.5,16.4,false,3,80,26.67,751.5,250.5,1.74,100.5,35.65,20.6
1841,Pau Torres,Spain,ESP,LCB,4,false,17.39,13.91,false,1,26,26.0,266.9,266.9,2.29,97.3,20.43,16.92
1034,Jhegson Méndez,Ecuador,ECU,CM,20,true,18.14,14.52,false,2,52,26.0,438.5,219.2,1.78,98.1,41.61,17.79
1519,Sergio Busquets,Spain,ESP,CM,5,true,18.37,14.7,false,4,103,25.75,908.5,227.1,1.83,99.1,43.17,18.21
13994,Saud Abdulhamid,Saudi Arabia,KSA,RB,12,true,21.45,17.16,false,3,77,25.67,874.7,291.6,2.02,100.4,45.0,21.53
13996,Hassan Tambakti,Saudi Arabia,KSA,RCB,17,true,19.99,15.99,false,2,51,25.5,520.0,260.0,1.99,97.1,28.26,19.41
12664,Saša Lukić,Serbia,SRB,CM,16,true,19.72,15.77,false,3,74,24.67,670.9,223.6,1.81,95.9,29.81,18.9
4732,Djibril Sow,Switzerland,SUI,CAM,15,true,18.9,15.12,false,4,98,24.5,932.7,233.2,1.97,96.3,40.93,18.2
8328,Remo Freuler,Switzerland,SUI,CM,8,true,19.27,15.41,false,4,97,24.25,921.9,230.5,1.89,100.9,44.52,19.43
3858,Idrissa Gueye,Senegal,SEN,CAM,5,true,20.66,16.53,false,3,72,24.0,763.1,254.4,1.97,96.9,30.06,20.03
4613,Benjamin Pavard,France,FRA,RB,2,true,19.31,15.45,false,1,24,24.0,229.7,229.7,1.91,99.1,38.57,19.14
13857,Borna Barisic,Croatia,CRO,LB,3,false,20.02,16.01,false,1,24,24.0,279.5,279.5,2.23,101.6,30.36,20.33
1339,Tyler Adams,United States,USA,CM,4,true,19.64,15.71,false,4,95,23.75,939.1,234.8,1.9,99.9,42.04,19.63
12222,Majid Hosseini,Iran,IRN,LCB,19,true,18.71,14.97,false,3,71,23.67,687.3,229.1,1.95,100.4,37.4,18.78
8037,Dusan Tadić,Serbia,SRB,RW,10,true,20.27,16.22,false,3,71,23.67,733.6,244.5,2.0,96.3,34.17,19.52
12514,Piotr Zielinski,Poland,POL,CM,20,true,19.06,15.25,false,4,94,23.5,904.6,226.1,1.95,97.2,28.63,18.53
4611,Alphonso Davies,Canada,CAN,LWB,19,true,21.79,17.43,false,3,70,23.33,767.5,255.8,1.9,101.3,38.93,22.07
13788,Yeltsin Tejeda,Costa Rica,CRC,CM,17,true,18.37,14.7,false,3,70,23.33,632.8,210.9,1.9,97.6,31.45,17.92
8129,Marcelo Brozovic,Croatia,CRO,CM,11,true,20.16,16.13,false,6,139,23.17,1416.3,236.1,1.93,99.9,37.64,20.14
7966,Kieffer Moore,Wales,WAL,CF,13,false,18.34,14.68,false,3,69,23.0,631.7,210.6,1.91,97.9,31.19,17.96
13779,Juan Pablo Vargas,Costa Rica,CRC,LCB,3,false,18.43,14.74,false,1,23,23.0,237.1,237.1,2.12,99.5,24.38,18.32
3367,Henry Martín,Mexico,MEX,CF,20,true,19.71,15.77,false,2,46,23.0,502.1,251.1,2.16,95.3,30.84,18.79
8000,Joao Mario,Portugal,POR,CM,17,false,19.68,15.75,false,1,23,23.0,248.5,248.5,2.1,96.4,32.5,18.98
1931,Ethan Ampadu,Wales,WAL,CM,15,true,19.27,15.42,false,3,68,22.67,600.3,200.1,1.77,96.9,24.58,18.68
7443,Christian Eriksen,Denmark,DEN,CM,10,true,20.17,16.13,false,3,68,22.67,667.2,222.4,1.86,98.6,30.24,19.89
4758,Ellyes Skhiri,Tunisia,TUN,CM,17,true,20.11,16.09,false,3,68,22.67,668.4,222.8,1.87,99.5,36.56,20.0
8551,Stephen Eustaquio,Canada,CAN,CM,7,true,20.08,16.07,false,2,45,22.5,451.0,225.5,1.95,96.5,28.21,19.37
13850,Grzegorz Krychowiak,Poland,POL,CDM,10,true,18.96,15.17,false,4,90,22.5,797.6,199.4,1.77,99.8,36.05,18.93
13121,Yunus Musah,United States,USA,CM,6,true,20.53,16.43,false,4,90,22.5,956.2,239.1,1.98,99.1,39.72,20.36
4695,Nico Elvedi,Switzerland,SUI,LCB,4,true,18.82,15.06,false,2,45,22.5,441.3,220.6,1.96,101.2,45.0,19.05
9,Aymeric Laporte,Spain,ESP,LCB,24,true,19.3,15.44,false,3,67,22.33,716.7,238.9,2.07,104.0,40.99,20.06
3978,Pape Gueye,Senegal,SEN,CDM,26,false,18.39,14.71,false,3,66,22.0,590.1,196.7,1.9,97.4,33.7,17.91
8854,Jackson Irvine,Australia,AUS,CM,22,true,20.53,16.42,false,4,88,22.0,982.9,245.7,2.08,98.9,36.57,20.31
7584,Rodrigo Bentancur,Uruguay,URU,CM,6,true,19.52,15.62,false,3,65,21.67,604.2,201.4,1.84,97.3,34.13,19.0
4616,Joshua Kimmich,Germany,GER,CM,6,true,19.64,15.71,false,3,65,21.67,667.4,222.5,1.96,104.1,45.0,20.44
1684,Federico Valverde,Uruguay,URU,CM,15,true,20.31,16.25,false,3,65,21.67,669.9,223.3,1.94,98.7,35.93,20.05
1530,Pedri,Spain,ESP,CM,26,true,18.81,15.05,false,4,86,21.5,783.6,195.9,1.84,101.8,33.48,19.15
4142,Dylan Bronn,Tunisia,TUN,RCB,6,true,17.7,14.16,false,2,43,21.5,358.4,179.2,1.76,102.6,37.74,18.17
4408,Salis Abdul Samed,Ghana,GHA,CM,21,true,19.32,15.46,false,3,64,21.33,652.2,217.4,2.02,98.2,45.0,18.97
1977,André Zambo Anguissa,Cameroon,CMR,CM,8,true,20.08,16.07,false,3,64,21.33,604.9,201.6,1.75,100.9,44.64,20.27
13945,Boualem Khoukhi,Qatar,QAT,UNK,16,true,18.56,14.84,false,3,64,21.33,601.7,200.6,1.84,106.4,45.0,19.74
67,Jan Vertonghen,Belgium,BEL,LCB,5,true,19.79,15.83,false,3,64,21.33,667.6,222.5,2.0,102.8,45.0,20.35
13781,Celso Borges,Costa Rica,CRC,CM,5,true,18.31,14.65,false,3,64,21.33,641.6,213.9,2.04,98.4,33.79,18.02
20,Ilkay Gündogan,Germany,GER,CM,21,true,18.29,14.63,false,3,64,21.33,551.2,183.7,1.82,98.1,42.43,17.94
12642,Ivan Ilić,Serbia,SRB,CM,24,false,18.57,14.85,false,1,21,21.0,193.9,193.9,1.96,96.2,22.06,17.86
90,Antonio Rüdiger,Germany,GER,RCB,2,true,21.23,16.98,false,3,63,21.0,726.3,242.1,2.04,101.4,45.0,21.53
474,Cheikhou Kouyaté,Senegal,SEN,CM,8,true,20.21,16.16,false,1,21,21.0,236.6,236.6,2.17,99.2,23.93,20.04
8561,Mehdi Taremi,Iran,IRN,CF,9,true,21.17,16.93,false,3,63,21.0,720.3,240.1,2.06,99.1,28.36,20.98
14023,Mohamed Ali Ben Romdhane,Tunisia,TUN,CM,15,false,18.53,14.82,false,1,21,21.0,187.1,187.1,1.88,96.4,26.55,17.86
395,Pierre-Emile Höjbjerg,Denmark,DEN,CM,23,true,20.36,16.29,false,3,63,21.0,700.1,233.4,2.05,102.2,42.27,20.82
13867,Bilal El Khannouss,Morocco,MAR,CAM,23,false,17.64,14.11,false,1,21,21.0,179.2,179.2,1.89,94.9,21.09,16.75
66,Toby Alderweireld,Belgium,BEL,UNK,2,true,18.62,14.9,false,3,63,21.0,598.5,199.5,1.89,105.2,37.14,19.6
11853,Antonio Silva,Portugal,POR,RCB,24,false,19.89,15.91,false,1,21,21.0,251.7,251.7,2.34,97.4,26.27,19.37
107,Christian Pulisic,United States,USA,LW,10,true,19.57,15.65,false,4,83,20.75,855.0,213.8,2.02,97.2,32.33,19.02
